title,date
Zeus eet ribbetjes!,2007-03-22T19:00:00+00:00
Ledenvergadering,2007-05-09T19:00:00+00:00
Ledenvergadering 31 Oktober 2007,2007-10-31T19:00:00+00:00
Kroegentocht!,2007-11-07T21:00:00+00:00
Webapplication Security Les,2007-11-14T18:00:00+00:00
Zeus Refresh!,2008-02-02T00:00:00+00:00
Introductie tot LaTeX,2008-02-11T17:30:00+00:00
Lezing over Grid Computing,2008-02-20T19:00:00+00:00
Zeus goes FOSDEM,2008-02-23T00:00:00+00:00
Zeus Goes FOSDEM 2008,2008-02-23T08:45:00+00:00
Software Security Les,2008-03-19T20:00:00+00:00
Lezing: Trends in Breedbandcommunicatie en Gedistribueerde Software,2008-04-16T18:00:00+00:00
Ubuntu Introductieles,2008-11-17T20:00:00+00:00
Latex Introductieles,2008-11-20T19:30:00+00:00
Star Trek,2009-06-25T00:00:00+00:00
"Zeus-leden, verenigt u!",2009-09-30T18:00:00+00:00
LaTeX-les,2009-10-27T19:00:00+00:00
TechEd 2009,2009-11-18T20:00:00+00:00
Technology Startups: Pitfalls for technical entrepreneurs.,2010-02-10T20:00:00+00:00
TronBot coding marathon,2010-02-24T14:00:00+00:00
Infosessie Vlaamse Programmeerwedstrijd,2010-03-10T20:00:00+00:00
Plugg 2010,2010-03-11T10:00:00+00:00
Vlaamse Programmeerwedstrijd,2010-03-17T14:00:00+00:00
Zeus ledenvergadering,2010-10-06T19:30:00+00:00
Open-source gaming night,2010-10-13T19:30:00+00:00
LaTeX les,2010-10-19T19:00:00+00:00
Django-les,2010-10-21T19:00:00+00:00
Android-development introductie,2010-10-27T19:30:00+00:00
Haskell Introductie,2010-11-05T15:00:00+00:00
Ubuntu les,2010-11-09T19:00:00+00:00
Durf Ondernemen kickoff,2010-11-22T19:00:00+00:00
Beheer je source code met Git!,2010-12-02T19:00:00+00:00
Fosdem 2011,2011-02-05T10:00:00+00:00
Smalltalk/StratifiedJS,2011-04-27T19:00:00+00:00
Ledenvergadering & ribbetjes,2011-05-17T17:30:00+00:00
Bezoek datacenter S10 & Ledenvergadering,2011-10-03T17:45:00+00:00
"No more lies, just benchmarks",2011-10-20T19:00:00+00:00
Windows Phone 7.5: Build an application in 4 hours,2011-11-04T09:00:00+00:00
Ubuntu-les,2011-11-22T19:00:00+00:00
Fosdem 2012,2012-02-04T10:00:00+00:00
