"starttime","num_users"
"2015-04-02","4"
"2015-04-03","1"
"2015-04-21","4"
"2015-04-27","0"
"2015-04-28","2"
"2015-05-05","1"
"2015-05-07","3"
"2015-05-12","5"
"2015-05-13","0"
"2015-05-17","0"
"2015-06-01","0"
"2015-06-04","2"
"2015-06-09","0"
"2015-06-11","2"
"2015-06-15","1"
"2015-06-17","1"
"2015-06-18","1"
"2015-06-19","0"
"2015-06-22","0"
"2015-06-23","1"
"2015-06-24","5"
"2015-06-26","0"
"2015-07-07","3"
"2015-07-14","2"
"2015-07-28","2"
"2015-08-04","8"
"2015-08-07","0"
"2015-08-11","4"
"2015-08-18","0"
"2015-08-24","0"
"2015-08-25","4"
"2015-08-26","2"
"2015-08-27","2"
"2015-08-28","0"
"2015-09-01","4"
"2015-09-02","1"
"2015-09-07","9"
"2015-09-08","0"
"2015-09-09","1"
"2015-09-11","0"
"2015-09-15","5"
"2015-09-18","1"
"2015-09-24","2"
"2015-09-25","2"
"2015-09-28","2"
"2015-09-29","3"
"2015-09-30","6"
"2015-10-01","3"
"2015-10-02","1"
"2015-10-06","6"
"2015-10-08","1"
"2015-10-12","2"
"2015-10-13","3"
"2015-10-15","5"
"2015-10-16","0"
"2015-10-19","0"
"2015-10-20","8"
"2015-10-22","6"
"2015-10-27","6"
"2015-10-29","3"
"2015-10-30","8"
"2015-11-03","1"
"2015-11-04","4"
"2015-11-05","0"
"2015-11-09","5"
"2015-11-10","3"
"2015-11-12","5"
"2015-11-16","3"
"2015-11-17","4"
"2015-11-19","5"
"2015-11-20","0"
"2015-11-23","2"
"2015-11-24","7"
"2015-11-26","2"
"2015-12-02","1"
"2015-12-03","1"
"2015-12-04","2"
"2015-12-07","0"
"2015-12-08","6"
"2015-12-09","2"
"2015-12-10","0"
"2015-12-15","3"
"2015-12-17","0"
"2015-12-29","0"
"2016-01-04","0"
"2016-01-12","1"
"2016-01-14","1"
"2016-01-17","2"
"2016-01-21","2"
"2016-01-27","3"
"2016-02-04","2"
"2016-02-08","5"
"2016-02-09","3"
"2016-02-11","4"
"2016-02-12","1"
"2016-02-16","6"
"2016-02-18","3"
"2016-02-22","5"
"2016-02-23","4"
"2016-02-25","7"
"2016-02-26","0"
"2016-02-29","4"
"2016-03-01","9"
"2016-03-03","9"
"2016-03-07","9"
"2016-03-09","3"
"2016-03-10","7"
"2016-03-14","4"
"2016-03-15","7"
"2016-03-16","0"
"2016-03-17","3"
