"created_at","count"
"2016-02-10","14"
"2016-02-11","64"
"2016-02-12","24"
"2016-02-13","2"
"2016-02-15","20"
"2016-02-16","38"
"2016-02-17","30"
"2016-02-18","27"
"2016-02-19","15"
"2016-02-22","29"
"2016-02-23","43"
"2016-02-24","43"
"2016-02-25","40"
"2016-02-26","26"
"2016-02-29","27"
"2016-03-01","47"
"2016-03-02","27"
"2016-03-03","40"
"2016-03-04","20"
"2016-03-07","26"
"2016-03-08","27"
"2016-03-09","20"
"2016-03-10","33"
"2016-03-11","9"
"2016-03-14","29"
"2016-03-15","64"
"2016-03-16","20"
"2016-03-17","31"
"2016-03-21","32"
"2016-03-22","41"
"2016-03-23","35"
"2016-03-24","36"
"2016-03-25","15"
"2016-03-29","14"
"2016-03-30","27"
"2016-03-31","23"
"2016-04-01","28"
"2016-04-04","17"
"2016-04-05","11"
"2016-04-06","35"
"2016-04-07","59"
"2016-04-08","10"
"2016-04-11","27"
"2016-04-12","42"
"2016-04-13","25"
"2016-04-14","23"
"2016-04-15","27"
"2016-04-18","29"
"2016-04-19","17"
"2016-04-20","11"
"2016-04-21","13"
"2016-04-25","43"
"2016-04-26","46"
"2016-04-27","38"
"2016-04-28","44"
"2016-04-29","17"
"2016-05-02","36"
"2016-05-03","34"
"2016-05-04","19"
"2016-05-09","42"
"2016-05-10","29"
"2016-05-11","40"
"2016-05-12","45"
"2016-05-13","11"
"2016-05-17","25"
"2016-05-18","10"
"2016-05-19","15"
"2016-05-20","1"
"2016-05-23","14"
"2016-05-24","6"
"2016-05-25","10"
"2016-05-26","8"
"2016-05-27","13"
"2016-05-30","14"
"2016-05-31","9"
"2016-06-01","5"
"2016-06-02","12"
"2016-06-03","4"
"2016-06-06","5"
"2016-06-07","8"
"2016-06-08","8"
"2016-06-09","14"
"2016-06-10","5"
"2016-06-13","13"
"2016-06-14","7"
"2016-06-15","9"
"2016-06-16","27"
"2016-06-17","3"
"2016-06-20","11"
"2016-06-21","28"
"2016-06-22","15"
"2016-06-23","8"
"2016-06-24","15"
"2016-06-27","17"
"2016-06-28","7"
"2016-06-29","12"
"2016-06-30","2"
"2016-07-01","2"
"2016-07-04","1"
"2016-07-05","22"
"2016-07-06","9"
"2016-07-07","8"
"2016-07-08","2"
"2016-07-12","23"
"2016-07-13","3"
"2016-07-14","4"
"2016-07-15","4"
"2016-07-25","8"
"2016-07-26","25"
"2016-07-27","19"
"2016-07-28","4"
"2016-07-29","8"
"2016-08-01","14"
"2016-08-02","21"
"2016-08-03","16"
"2016-08-04","20"
"2016-08-05","9"
"2016-08-08","28"
"2016-08-09","27"
"2016-08-10","15"
"2016-08-11","8"
"2016-08-12","26"
"2016-08-16","28"
"2016-08-17","10"
"2016-08-18","4"
"2016-08-19","12"
"2016-08-22","10"
"2016-08-23","30"
"2016-08-24","5"
"2016-08-25","14"
"2016-08-26","29"
